n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
4;16384;16384;estimate;par;25.1711;2.06192;23.1091;4.21422;7.13627;4.96428;6.79431;0.00953913;1.94665e+10;
4;16384;16384;estimate;par;25.0155;2.08857;22.9269;4.26561;7.2141;4.73142;6.71574;0.00936837;1.94665e+10;
4;16384;16384;estimate;par;24.9086;2.10915;22.7993;4.29376;7.14095;4.58958;6.77502;0.00958351;1.94665e+10;
4;16384;16384;estimate;par;24.9311;2.08992;22.8411;4.16922;7.08324;4.84854;6.74008;0.00962671;1.94665e+10;
4;16384;16384;estimate;par;24.9122;2.09845;22.8137;4.19011;7.18157;4.74012;6.70191;0.00963415;1.94665e+10;
4;16384;16384;estimate;par;24.7367;2.0889;22.6477;4.23987;7.0445;4.73748;6.62581;0.00960337;1.94665e+10;
4;16384;16384;estimate;par;25.2579;2.11539;23.1424;4.29299;7.35922;4.84302;6.64713;0.00951165;1.94665e+10;
8;16384;16384;estimate;par;12.2017;2.06939;10.1323;2.14758;3.09434;2.35879;2.53154;0.00936255;1.94665e+10;
8;16384;16384;estimate;par;11.3455;2.11295;9.2324;2.16167;2.36921;2.38157;2.31996;0.00930659;1.94665e+10;
8;16384;16384;estimate;par;11.2651;2.06763;9.19737;2.13966;2.35249;2.3565;2.34871;0.00938375;1.94665e+10;
8;16384;16384;estimate;par;11.3362;2.10932;9.22682;2.12364;2.40881;2.35833;2.33604;0.00936271;1.94665e+10;
8;16384;16384;estimate;par;11.3236;2.08687;9.23667;2.13448;2.39001;2.38557;2.32661;0.00946015;1.94665e+10;
8;16384;16384;estimate;par;11.4771;2.12441;9.35258;2.13678;2.55092;2.33861;2.32626;0.00927371;1.94665e+10;
8;16384;16384;estimate;par;11.4333;2.05351;9.37975;2.1432;2.35194;2.34528;2.53933;0.00933871;1.94665e+10;
8;16384;16384;estimate;par;11.3685;2.07995;9.28843;2.17204;2.39545;2.40593;2.31502;0.00934613;1.94665e+10;
8;16384;16384;estimate;par;11.9679;2.12358;9.84426;2.16257;3.00485;2.36151;2.31534;0.00930657;1.94665e+10;
8;16384;16384;estimate;par;11.4178;2.06352;9.35423;2.16029;2.35289;2.28031;2.56074;0.00937615;1.94665e+10;
8;16384;16384;estimate;par;11.6542;2.08806;9.56606;2.1667;2.43279;2.35575;2.61081;0.00921509;1.94665e+10;
8;16384;16384;estimate;par;11.1528;2.06485;9.08787;2.14436;2.35564;2.38375;2.20412;0.00959837;1.94665e+10;
8;16384;16384;estimate;par;11.3217;2.07397;9.24762;2.13355;2.39634;2.40123;2.31651;0.00938151;1.94665e+10;
8;16384;16384;estimate;par;11.2483;2.07771;9.17053;2.15505;2.42467;2.37524;2.21557;0.00937669;1.94665e+10;
8;16384;16384;estimate;par;12.1547;2.13381;10.0208;2.14923;3.30269;2.38686;2.18199;0.00931177;1.94665e+10;
